rank,previous rank,name,location code,location,size,focus,research,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,irn score,irn rank,ger score,ger rank,sus score,sus rank,overall score
147,154,Technische Universität Berlin (TU Berlin),Germany,Europe,L,CO,VH,A,55.3,142,74.3,88,58.0,252,22.1,530,63.2,311,74.8,187,86.1,232,37.7,341,35.4,400=,"52,5"
148,158,Universiti Putra Malaysia (UPM),Malaysia,Asia,L,FC,VH,A,61.0,118,61.9,131,58.8,250,25.7,490,36.1,441,92.0,108,80.5,314,17.5,607,53.5,295=,"52,3"
149,143,King Abdulaziz University (KAU),Saudi Arabia,Asia,XL,FC,VH,A,59.8,125,61.4,133,41.6,374,34.4,387,89.3,195,9.5,701+,93.1,118,35.9,353,58.4,275,"52,2"
150,197,Indian Institute of Technology Delhi (IITD),India,Asia,M,FO,VH,A,54.1,147,80.9,73,17.3,701+,77.4,126,3.1,701+,1.5,701+,63.3,582,35.1,361,32.7,424=,"52,1"
150,148,University of Bath,United Kingdom,Europe,L,CO,VH,A,35.8,245,67.9,109,18.3,701+,52.0,250,94.3,159,80.0,171,84.2,259,35.2,360,90.4,92,"52,1"
152,136,Michigan State University,United States,Americas,XL,FC,VH,A,59.5,127,48.6,188,11.4,701+,50.3,259,54.5,344,12.4,668,97.5,32,57.1,211,96.3,41=,"51,9"
152,176,Nagoya University,Japan,Asia,L,FC,VH,A,63.2,108,65.8,117,84.7,107,25.4,494,14.5,671,19.6,550,64.8,559,21.5,533,75.0,186=,"51,9"
154,134,Texas A&M University,United States,Americas,XL,FC,VH,A,61.2,116,66.0,115,4.4,701+,64.3,176,21.9,569,12.1,678,92.6,125,44.4,287,39.5,371=,"51,8"
155,128,University of Geneva,Switzerland,Europe,L,FC,VH,A,45.5,183,17.2,499,40.4,387,62.4,189,100.0,51,97.6,74,94.2,93,49.5,258,42.3,355=,"51,6"
155,132,"University of North Carolina, Chapel Hill",United States,Americas,XL,FC,VH,A,61.4,114,36.5,258,72.9,179,47.2,288,23.5,555,11.1,696,91.6,147,55.2,225,44.6,343=,"51,6"
155,151,Wageningen University & Research,Netherlands,Europe,L,CO,VH,A,42.1,204,23.8,401,98.6,43,41.3,336,59.4,328,81.2,169,97.9,27,21.1,542,92.3,75,"51,6"
158,176,Erasmus University Rotterdam ,Netherlands,Europe,L,FO,VH,A,37.0,233,58.2,139,18.1,701+,63.3,182,76.0,256,70.0,211,85.4,240,89.3,80,28.7,455,"51,5"
159,141,Université de Montréal ,Canada,Americas,XL,FC,VH,A,55.5,140,32.8,289,76.0,160,19.3,566,87.6,205,54.1,273,84.9,247,54.2,229,91.4,81=,"51,3"
159,139,University of Groningen,Netherlands,Europe,XL,FC,VH,A,52.3,156,34.4,275,49.3,318,41.2,339,93.2,168,83.5,161,94.1,97,40.0,319,40.1,368,"51,3"
161,126,University of Bern,Switzerland,Europe,M,FO,VH,A,29.7,298,16.1,530,45.9,338,99.3,22,100.0,48,38.0,370,93.8,103,30.7,410,52.1,305=,"51,2"
162,164,Hanyang University,South Korea,Asia,L,FC,VH,B,43.0,199,78.0,81,77.1,153,28.5,458,17.4,636,57.6,257,63.0,584,43.3,295,85.8,121=,"51,1"
163,230,Al-Farabi Kazakh National University,Kazakhstan,Asia,L,FC,HI,A,54.2,146,79.6,77,99.3,33,1.4,701+,49.0,370,54.2,272,64.7,561,59.6,206,29.8,445=,51
164,171,Complutense University of Madrid,Spain,Europe,XL,FC,VH,A,68.1,98,68.1,106,28.7,538,7.9,701+,10.5,701+,34.3,395,91.8,139,96.3,41,88.9,103=,"50,9"
165,164,Universitat de Barcelona,Spain,Europe,XL,FC,VH,A,73.7,85,30.3,312,12.4,701+,38.1,364,23.1,559,26.3,461,96.8,44,71.5,153,92.2,76=,"50,7"
165,176,University of Liverpool,United Kingdom,Europe,L,FC,VH,A,46.1,176,39.4,239,37.8,422,36.6,373,88.3,203,85.4,150,97.2,38,36.3,351,95.6,50=,"50,7"
167,164,Kyushu University,Japan,Asia,L,FC,VH,A,58.3,133,66.5,113,78.4,149,27.9,466,18.7,613=,14.1,640,69.9,488,15.1,657,77.6,170=,"50,3"
167,162,University of Wollongong,Australia,Oceania,L,FC,VH,A,29.5,300,24.5,393,17.0,701+,94.6,52,91.8,178,56.3,265,89.0,185,18.3,596,93.9,62=,"50,3"
169,159,Ghent University,Belgium,Europe,XL,FC,VH,A,53.2,150,24.8,384,78.5,148,21.5,538,79.7,241,21.4,522,99.5,9,72.9,145,98.3,21,"50,1"
169,153,The University of Exeter,United Kingdom,Europe,L,FC,VH,A,42.9,200,45.0,203,30.2,518,42.5,324,91.0,187,72.2,202,95.1,74,30.1,417,97.1,30=,"50,1"
171,173,University of Cape Town,South Africa,Africa,L,FC,VH,A,45.2,185,51.8,170,13.8,701+,46.8,294,56.5,335,19.2,563,97.3,36,95.8,46,95.6,50=,50
171,154,Washington University in St. Louis,United States,Americas,L,FC,VH,B,36.3,241,12.0,601+,99.7,29,47.7,283,85.4,220,72.4,201,83.6,270,31.9,396,86.7,114=,"49,9"
172,169,University of Reading,United Kingdom,Europe,L,CO,VH,A,32.2,273,41.7,226,13.1,701+,65.7,169,86.2,214,78.6,177,91.7,142,47.8,268,94.0,61,"49,9"
173,196,Hokkaido University,Japan,Asia,L,FC,VH,A,59.0,128,63.3,125,76.2,158,26.0,485,18.7,613=,12.1,677,77.7,365,15.5,645,78.1,168,"49,8"
174,183,Curtin University,Australia,Oceania,L,CO,VH,A,33.1,266,27.7,348,15.7,701+,84.7,95,100.0,49,24.3,485,94.2,96,31.0,405,90.7,89=,"49,3"
175,149,Universitat Autònoma de Barcelona,Spain,Europe,XL,FC,VH,A,64.0,105,35.8,263,11.5,701+,59.5,206,18.5,620,16.5,595,93.1,116,24.0,472,86.7,114=,"49,2"
176,189,McMaster University,Canada,Americas,L,FC,VH,A,39.5,215,34.2,276,63.8,215,35.6,380,96.2,136,56.7,263,82.6,284,49.9,255,91.9,78=,49
178,163,"University of California, Santa Barbara (UCSB)",United States,Americas,L,CO,VH,A,52.6,154,21.3,432,7.7,701+,97.8,37,75.4,261,17.2,583,71.2,466,7.9,701+,28.4,456=,"48,9"
179,173,"The University of Newcastle, Australia (UON)",Australia,Oceania,L,FC,VH,A,28.3,312,24.5,392,28.7,537,91.7,70,99.9,89,24.2,487,82.0,289,14.8,670,92.4,74,"48,7"
179,198,Universidad de los Andes,Colombia,Americas,L,FC,HI,B,67.7,100,88.4,54,14.2,701+,5.9,701+,22.8,560,1.9,701+,55.2,692,98.2,26,80.0,155,"48,7"
181,188,Universiti Teknologi Malaysia ,Malaysia,Asia,L,CO,VH,A,48.6,166,59.6,134,46.0,337,40.5,347,14.1,683,86.9,142,82.9,279,18.0,600,52.1,305=,"48,5"
181,199,Waseda University,Japan,Asia,XL,CO,VH,B,60.7,122,96.1,30,23.5,616,3.8,701+,27.9,507,28.0,445,66.4,533,83.7,106,56.1,282=,"48,5"
183,310,Hamad Bin Khalifa University,Qatar,Asia,S,FO,VH,A,12.9,601+,4.7,601+,99.9,20,100.0,8,100.0,9,100.0,10,74.3,417,6.0,701+,2.6,701+,"48,3"
184,167,University of York,United Kingdom,Europe,L,FC,VH,A,42.9,201,30.1,313,43.0,364,40.1,353,87.8,204,75.6,184,92.5,128,23.5,480,97.4,29,"48,2"
185,184,Tecnológico de Monterrey,Mexico,Americas,XL,FC,HI,B,53.8,149,91.4,47,62.5,223,2.4,701+,20.8,589,10.6,701+,56.6,670,96.1,43,54.4,291=,"48,1"
186,154,Cardiff University,United Kingdom,Europe,L,FC,VH,A,46.8,171,43.2,213,36.1,441,30.0,437,82.8,229,67.7,219,92.3,132,18.9,584,96.0,46=,"47,6"
187,184,École Normale Supérieure de Lyon,France,Europe,S,CO,VH,A,29.8,296,16.3,522,97.0,49,93.5,59,59.0,329,11.7,684,70.3,482,14.0,694,6.6,701+,"47,5"
188,214,Keio University,Japan,Asia,XL,FC,VH,B,53.0,151,91.6,46,57.2,257,5.1,701+,9.4,701+,10.2,701+,57.5,658,91.4,69,59.0,271=,"47,4"
189,203,University of Ottawa,Canada,Americas,XL,FC,VH,A,26.2,340,23.3,406,3.5,701+,81.3,106,91.7,179,77.8,181,93.0,119,39.8,323,92.9,72,"47,3"
190,184,Technische Universität Wien,Austria,Europe,M,FO,VH,A,33.9,258,50.4,178,12.5,701+,73.8,139,85.5,218,90.4,120,71.6,457,19.1,577,11.3,636=,"47,2"
191,205,Universität Hamburg,Germany,Europe,L,FO,VH,A,50.7,159,35.7,264,16.5,701+,54.7,233,40.2,418,20.4,532,93.4,109,42.8,300,90.6,91,"47,1"
192,216,Tongji University,China (Mainland),Asia,XL,FC,VH,A,31.8,276,16.9,508,29.1,533,96.9,44,54.5,345,26.5,457,72.9,442,24.0,473,81.4,147,"46,9"
193,209,Queen's University at Kingston,Canada,Americas,L,FC,VH,A,40.8,209,56.7,144,5.4,701+,42.6,322,69.2,287,26.6,456,71.2,467,87.1,93,93.8,64=,"46,8"
194,187,University of Gothenburg,Sweden,Europe,L,FC,VH,A,35.4,247,18.3,481,60.9,235,33.6,394,90.0,191,78.2,180,94.2,91,63.1,189,92.8,73,"46,7"
194,194,Wuhan University,China (Mainland),Asia,XL,FC,VH,A,39.2,218,40.5,233,14.0,701+,91.9,69,39.2,423,4.9,701+,78.2,356,46.5,275,22.2,513=,"46,7"
196,166,Emory University,United States,Americas,L,FC,VH,B,25.2,349,19.0,469,93.8,70,78.4,120,52.2,355,33.9,399,85.6,237,22.8,502,37.0,391=,"46,6"
197,233,Deakin University,Australia,Oceania,XL,FC,VH,A,31.3,282,23.9,400,4.6,701+,73.6,140,96.4,135,63.8,236,82.7,280,36.8,347,93.7,66,"46,4"
198,199,Universidad Autónoma de Madrid,Spain,Europe,XL,FC,VH,A,61.0,119,64.3,123,29.1,534,21.0,546,7.7,701+,10.4,701+,92.0,136,43.1,297,79.6,156=,"46,3"
198,182,University of Calgary,Canada,Americas,XL,FC,VH,A,37.9,227,44.5,207,18.1,701+,40.3,350,77.7,246,66.2,225,85.2,243,53.3,236,93.3,68=,"46,3"
200,179,Arizona State University,United States,Americas,XL,CO,VH,A,48.6,165,44.1,209,7.4,701+,47.1,289,52.1,357,37.2,378,95.7,66,23.6,479,96.3,41=,"46,2"
